lambda_1	P1_MPa	lambda_2	P2_MPa	lambda_3	P3_MPa
1.0	0.0	1.0	0.0	1.0	0.0
1.01	0.03	1.06	0.07	1.04	0.09
1.12	0.14	1.14	0.16	1.08	0.16
1.24	0.23	1.21	0.24	1.12	0.24
1.39	0.32	1.32	0.33	1.14	0.26
1.61	0.41	1.46	0.42	1.20	0.33
1.89	0.5	1.87	0.59	1.31	0.44
2.17	0.58	2.4	0.76	1.42	0.51
2.42	0.67	2.98	0.93	1.69	0.65
3.01	0.85	3.48	1.11	1.94	0.77
3.58	1.04	3.96	1.28	2.49	0.96
4.03	1.21	4.36	1.46	3.03	1.24
4.76	1.58	4.69	1.62	3.43	1.45
5.36	1.94	4.96	1.79	3.75	1.72
5.76	2.29	NaN	NaN	4.03	1.96
6.16	2.67	NaN	NaN	4.26	2.22
6.4	3.02	NaN	NaN	4.44	2.43
6.62	3.39	NaN	NaN	NaN	NaN
6.87	3.75	NaN	NaN	NaN	NaN
7.05	4.12	NaN	NaN	NaN	NaN
7.16	4.47	NaN	NaN	NaN	NaN
7.27	4.85	NaN	NaN	NaN	NaN
7.43	5.21	NaN	NaN	NaN	NaN
7.5	5.57	NaN	NaN	NaN	NaN
7.61	6.3	NaN	NaN	NaN	NaN
