# time, E11
3.0, -0.000226
3.005, 7.59e-05
3.01, 0.000375
3.015, 0.000686
3.02, 0.0009773
3.025, 0.001287
3.03, 0.001587
3.035, 0.00189
3.04, 0.002188
3.045, 0.002487
3.05, 0.002791
3.055, 0.003092
3.06, 0.003389
3.065, 0.003702
3.07, 0.004009
3.075, 0.004306
3.08, 0.004593
3.085, 0.004904
3.09, 0.005205
3.095, 0.005506
3.1, 0.005804
3.105, 0.006106
3.11, 0.006405
3.115, 0.006708
3.12, 0.007008
3.125, 0.00731
3.13, 0.00761
3.135, 0.007912
3.14, 0.008214
3.145, 0.008517
3.15, 0.00881
3.155, 0.00912
3.16, 0.009419
3.165, 0.009717
3.17, 0.01002
3.175, 0.01032
3.18, 0.01062
3.185, 0.01092
3.19, 0.01122
3.195, 0.01153
3.2, 0.01182
3.205, 0.01213
3.21, 0.01243
3.215, 0.01273
3.22, 0.01303
3.225, 0.01333
3.23, 0.01364
3.235, 0.01394
3.24, 0.01424
3.245, 0.01454
3.25, 0.01484
3.255, 0.01499
3.26, 0.0148
3.265, 0.01454
3.27, 0.01426
3.275, 0.01397
3.2800000000000002, 0.01369
3.285, 0.01339
3.29, 0.0131
3.295, 0.01281
3.3, 0.01252
3.305, 0.01222
3.31, 0.01194
3.315, 0.0117
3.32, 0.01141
3.325, 0.0111
3.33, 0.01075
3.335, 0.01041
3.34, 0.01002
3.3449999999999998, 0.009685
3.35, 0.009388
3.355, 0.00908
3.36, 0.008781
3.365, 0.008472
3.37, 0.008175
3.375, 0.00787
3.38, 0.007568
3.385, 0.007264
3.39, 0.00696
3.395, 0.006658
3.4, 0.006355
3.4050000000000002, 0.006051
3.41, 0.005748
3.415, 0.005443
3.42, 0.005145
3.425, 0.004839
3.43, 0.004541
3.435, 0.00424
3.44, 0.003938
3.445, 0.003639
3.45, 0.00333
3.455, 0.003035
3.46, 0.002733
3.465, 0.002429
3.4699999999999998, 0.002129
3.475, 0.001827
3.48, 0.001526
3.485, 0.001226
3.49, 0.0009201
3.495, 0.0006221
3.5, 0.000321
3.505, 2.3e-05
3.51, -0.000285
3.515, -0.000582
3.52, -0.0008862
3.525, -0.001187
3.5300000000000002, -0.001488
3.535, -0.001788
3.54, -0.002088
3.545, -0.002397
3.55, -0.002687
3.555, -0.002994
3.56, -0.003294
3.565, -0.003592
3.57, -0.003897
3.575, -0.004195
3.58, -0.004503
3.585, -0.004801
3.59, -0.005103
3.5949999999999998, -0.005403
3.6, -0.005709
3.605, -0.006006
3.61, -0.00631
3.615, -0.006614
3.62, -0.006908
3.625, -0.007212
3.63, -0.007516
3.635, -0.007817
3.64, -0.008119
3.645, -0.00842
3.65, -0.008722
3.6550000000000002, -0.009023
3.66, -0.009324
3.665, -0.009627
3.67, -0.00992
3.675, -0.01022
3.68, -0.01053
3.685, -0.01082
3.69, -0.01113
3.695, -0.01143
3.7, -0.01173
3.705, -0.01203
3.71, -0.01233
3.715, -0.01263
3.7199999999999998, -0.01293
3.725, -0.01323
3.73, -0.01353
3.735, -0.01383
3.74, -0.01413
3.745, -0.01443
3.75, -0.01473
3.755, -0.01499
3.76, -0.01484
3.765, -0.01453
3.77, -0.01423
3.775, -0.01395
3.7800000000000002, -0.01367
3.785, -0.01339
3.79, -0.0131
3.795, -0.01281
3.8, -0.01252
3.805, -0.01223
3.81, -0.01193
3.815, -0.01164
3.82, -0.01134
3.825, -0.01108
3.83, -0.01085
3.835, -0.01056
3.84, -0.01025
3.8449999999999998, -0.009935
3.85, -0.009572
3.855, -0.009227
3.86, -0.008873
3.865, -0.008562
3.87, -0.008262
3.875, -0.007967
3.88, -0.00766
3.885, -0.007364
3.89, -0.007066
3.895, -0.006767
3.9, -0.006463
3.9050000000000002, -0.006164
3.91, -0.005858
3.915, -0.005566
3.92, -0.005263
3.925, -0.00496
3.93, -0.004665
3.935, -0.004368
3.94, -0.004064
3.945, -0.003767
3.95, -0.003465
3.955, -0.003163
3.96, -0.002869
3.965, -0.002565
3.9699999999999998, -0.002263
3.975, -0.001967
3.98, -0.001666
3.985, -0.001365
3.99, -0.001064
3.995, -0.0007638
4.0, -0.00046
