g	nindividual	cost	p(0)	p(1)	p(2)	p(3)	p(4)	
0	5	1.84823	39849	4652.26	0.0538845	0.201321	6821.19
0	1	3.20278	29939.4	7985.98	0.17657	0.167493	6530.16
0	2	3.42044	30912.6	3290.36	0.18346	0.162867	7460.4
0	4	3.49674	24674.2	4204.3	0.122141	0.0635528	7869.57
0	3	14.4251	38899.5	2160.12	0.279146	0.141588	3912.11
1	11	1.84241	29930.8	2159.56	0.176588	0.141491	3910.18
1	12	1.84685	29917.3	2160.71	0.17664	0.0790483	3914.61
1	5	1.84823	39849	4652.26	0.0538845	0.201321	6821.19
1	13	2.1346	24679.7	4206.77	0.122055	0.14145	3915.5
1	1	3.20278	29939.4	7985.98	0.17657	0.167493	6530.16
2	18	1.60687	39832.8	2162.8	0.0539341	0.0790813	6824.87
2	11	1.84241	29930.8	2159.56	0.176588	0.141491	3910.18
2	12	1.84685	29917.3	2160.71	0.17664	0.0790483	3914.61
2	5	1.84823	39849	4652.26	0.0538845	0.201321	6821.19
2	16	1.85034	29898	2159.69	0.1765	0.14151	3915.99
3	22	0.645054	29919.8	2161.63	0.0539536	0.0790131	3911.14
3	18	1.60687	35849.5	2379.08	0.0593275	0.0790813	6142.39
3	23	1.73054	29899.3	2159.07	0.0538835	0.0791266	6821.75
3	11	1.84241	29930.8	2159.56	0.176588	0.141491	3910.18
3	12	1.84685	29917.3	2160.71	0.17664	0.0790483	3914.61
4	26	0.634941	29932.6	2380.8	0.0593383	0.141581	3913.77
4	22	0.645054	29071.2	2377.79	0.059349	0.0790131	3520.03
4	28	1.42418	35852.3	2376.86	0.0538783	0.079059	6141.84
4	30	1.52571	35837.3	2159.17	0.176716	0.0790602	6148.11
4	18	1.60687	35849.5	2379.08	0.0593275	0.0790813	6142.39
5	31	0.2637	35854.9	2382.5	0.0592867	0.0790308	2397.89
5	32	0.449793	35873.7	2377.12	0.0592724	0.0789659	3516.89
5	33	0.518006	28837.5	2374.87	0.0538735	0.079065	3521.38
5	26	0.634941	29114.4	2618.88	0.063541	0.141581	3522.39
5	22	0.645054	29071.2	2377.79	0.059349	0.0790131	3520.03
6	37	0.209774	29125.2	2621.15	0.0635851	0.141606	2396.11
6	31	0.2637	32269.4	2620.75	0.0634541	0.0790308	2158.1
6	40	0.265138	35866	2377.92	0.0592223	0.0789704	2398.76
6	36	0.265374	35863.9	2376.39	0.0592975	0.0790578	2399.74
6	32	0.449793	35873.7	2377.12	0.0592724	0.0789659	3516.89
7	45	0.192504	29124.2	2621.62	0.0592342	0.141509	2400.83
7	37	0.209774	30937.3	2883.26	0.0641389	0.141606	2156.5
7	43	0.254379	29109.7	2376.05	0.0592786	0.0790869	2400.98
7	31	0.2637	32269.4	2620.75	0.0634541	0.0790308	2158.1
7	40	0.265138	35866	2377.92	0.0592223	0.0789704	2398.76
8	49	0.137476	30955.4	2884.36	0.059199	0.141453	2157
8	45	0.192504	30831.1	2883.79	0.0631653	0.141509	2160.74
8	48	0.193848	29095.2	2618.22	0.0593375	0.0790572	2399.33
8	37	0.209774	30937.3	2883.26	0.0641389	0.141606	2156.5
8	50	0.221771	32261.5	2619.04	0.0634654	0.0790471	2156.4
9	52	0.13666	30969	2887.09	0.0591867	0.0790974	2158.16
9	49	0.137476	31277.6	3172.79	0.0639071	0.141453	1989.98
9	55	0.138796	30811.3	2882.94	0.0632027	0.141559	2400.77
9	53	0.147222	29094	2881.66	0.059236	0.0790925	2158.88
9	54	0.151552	30938.1	2882.46	0.0641517	0.14172	2156.51
10	58	0.08396	31295.5	3171.66	0.0591768	0.0790283	2157.95
10	52	0.13666	31276.8	3175.8	0.0638804	0.0790974	1989.7
10	57	0.137177	30996.9	2884.46	0.0592008	0.14174	2158.61
10	49	0.137476	31277.6	3172.79	0.0639071	0.141453	1989.98
10	55	0.138796	30811.3	2882.94	0.0632027	0.141559	2400.77
11	58	0.08396	31184.4	3488.83	0.0641526	0.0790283	1989.17
11	63	0.0840834	31269.5	3170.42	0.0591343	0.141536	2158.7
11	64	0.0996863	31315.6	3170.91	0.0632033	0.0790605	2400.51
11	62	0.132145	30837.3	2885.65	0.0591609	0.141659	2398.86
11	52	0.13666	31276.8	3175.8	0.0638804	0.0790974	1989.7
12	58	0.0658237	31230.4	3837.71	0.0647142	0.0790283	1999.57
12	68	0.0661413	31205.5	3485.84	0.0642126	0.141669	1990.3
12	70	0.0836534	31280	3173	0.0591094	0.141678	2159.58
12	63	0.0840834	31269.5	3170.42	0.0591343	0.141536	2158.7
12	67	0.084443	31274.5	3168.21	0.0591783	0.0790965	2158.37
13	72	0.0239465	31305.1	3839.99	0.0646603	0.141819	2158.63
13	58	0.0263446	31131.1	4221.48	0.064868	0.0790283	2000
13	71	0.0265584	31257.6	3837.18	0.0642072	0.0789876	1991.29
13	74	0.066038	31303.9	3483.36	0.0641655	0.141681	1991.32
13	68	0.0661413	31205.5	3485.84	0.0642126	0.141669	1990.3
14	80	0.0233569	31317	3840.88	0.0641275	0.14192	2158.31
14	72	0.0239465	31490.7	4223.98	0.0653793	0.141819	2087.32
14	76	0.0240825	31305.3	3837.18	0.0647194	0.141767	2157.68
14	77	0.0243278	31119.9	3842.31	0.0648219	0.0790825	2156.9
14	58	0.0263446	31131.1	4221.48	0.064868	0.0790283	2000
15	81	0.0126863	31503.9	4223.48	0.0641527	0.141921	2157.64
15	82	0.0229347	31310.8	3843.82	0.0640823	0.0790601	2155.03
15	84	0.0233129	31515.9	3839.03	0.0641579	0.141997	2159.5
15	80	0.0233569	31060.4	4224.97	0.0647918	0.14192	1988.08
15	83	0.0234202	31298.7	3838.95	0.0641207	0.0790942	2157.58
16	81	0.0126863	31019.6	4581.08	0.0650586	0.141921	1988.01
16	82	0.0229347	31310.8	3843.82	0.0640823	0.0790601	2155.03
16	89	0.0229994	31518.8	3840	0.0640658	0.14192	2156.82
16	86	0.023169	31306.6	3840.23	0.0641389	0.0790656	2155.08
16	84	0.0233129	31515.9	3839.03	0.0641579	0.141997	2159.5
17	91	7.32515e-05	31020.8	4579.74	0.0650667	0.141915	1988.98
17	81	8.59239e-05	31033.9	4569.1	0.0649994	0.141921	1999.92
17	93	0.000574217	31307.2	4584.05	0.0641215	0.079	1988.18
17	92	0.0141099	31015.6	4581.47	0.0651182	0.141949	2154.96
17	82	0.0229347	31310.8	3843.82	0.0640823	0.0790601	2155.03
18	96	2.67609e-06	31000.5	4572.02	0.0649551	0.141828	2000.83
