g	nindividual	cost	p(0)	p(1)	p(2)	p(3)	p(4)	
0	4	0.522148	29636.3	1693.24	0.0439132	0.262539	3240.58
0	2	0.959112	36549.7	5614.55	0.0169376	0.163416	2679.17
0	7	1.2564	39314	7925.69	0.191133	0.0899571	2577.16
0	3	1.46416	32575	2177.73	0.23238	0.218393	3568.04
0	9	1.51746	22957.8	1033.44	0.179414	0.198206	6455.8
0	5	1.76185	15198.1	6577.73	0.0250955	0.0632339	3372.41
0	1	1.97294	38345.1	5136.26	0.252163	0.0443143	2062.85
0	10	2.06967	39734.1	6772.99	0.251745	0.215216	2610.6
0	6	2.77241	22146.7	7336.58	0.164649	0.268641	2145.77
0	8	3.598	32713.7	5310.03	0.261383	0.0566031	3298.1
1	14	0.372216	38315.9	5139.29	0.0349478	0.0442814	2062.96
1	4	0.522148	30785	1862.56	0.0483045	0.262539	2918.9
1	18	0.916734	39719.3	6779.44	0.0251164	0.215209	2612.84
1	2	0.959112	36549.7	5614.55	0.0169376	0.163416	2679.17
1	11	0.960319	36580.4	5614.02	0.0169219	0.163438	2680.51
1	17	1.02205	32740.9	5308.56	0.0250912	0.056613	3298.47
1	7	1.2564	39314	7925.69	0.191133	0.0899571	2577.16
1	3	1.46416	32575	2177.73	0.23238	0.218393	3568.04
1	9	1.51746	22957.8	1033.44	0.179414	0.198206	6455.8
1	5	1.76185	15198.1	6577.73	0.0250955	0.0632339	3372.41
2	29	0.291758	32740.9	5140.22	0.0349254	0.0443071	2061.55
2	14	0.372216	34484.3	4625.36	0.0384426	0.0442814	1999.71
2	4	0.522148	30785	1862.56	0.0483045	0.262539	2918.9
2	21	0.598852	32770	4466.28	0.117687	0.0566105	2680.18
2	24	0.603729	36575.5	5614.8	0.0349645	0.163402	2677.48
2	27	0.89625	32563.4	2176.7	0.0250973	0.21861	3569.61
2	18	0.916734	39719.3	6779.44	0.0251164	0.215209	2612.84
2	28	0.924608	30792.3	5613.23	0.016925	0.163554	2678.51
2	23	0.932749	39698.4	2176.75	0.0251291	0.218367	3565.07
2	26	0.940037	39276.4	5616.93	0.0169122	0.0899391	2577.76
3	37	0.190587	32782.3	4469.88	0.0384364	0.0565745	1999.02
3	29	0.291758	31133.7	4626.2	0.038418	0.0443071	1997.78
3	36	0.303253	36602.6	4629.04	0.0349546	0.163416	2001.47
3	32	0.371813	39282.4	5622.11	0.0384596	0.0442405	2000.37
3	14	0.372216	34484.3	4625.36	0.0384426	0.0442814	1999.71
3	4	0.522148	30785	1862.56	0.0483045	0.262539	2918.9
