# time, E11
3.0, -7.09e-05
3.005, 0.000126
3.01, 0.000333
3.015, 0.000526
3.02, 0.0007279
3.025, 0.0009266
3.03, 0.001132
3.035, 0.00133
3.04, 0.001533
3.045, 0.001727
3.05, 0.001933
3.055, 0.002134
3.06, 0.002335
3.065, 0.002534
3.07, 0.00274
3.075, 0.002938
3.08, 0.003138
3.085, 0.003332
3.09, 0.003545
3.095, 0.003737
3.1, 0.003942
3.105, 0.004136
3.11, 0.004343
3.115, 0.004549
3.12, 0.004744
3.125, 0.004945
3.13, 0.00515
3.135, 0.00535
3.14, 0.005549
3.145, 0.005751
3.15, 0.005952
3.155, 0.00615
3.16, 0.006352
3.165, 0.006553
3.17, 0.006755
3.175, 0.006959
3.18, 0.007154
3.185, 0.007357
3.19, 0.007556
3.195, 0.00776
3.2, 0.007962
3.205, 0.008162
3.21, 0.008359
3.215, 0.008567
3.22, 0.008759
3.225, 0.008965
3.23, 0.009171
3.235, 0.009368
3.24, 0.009567
3.245, 0.00977
3.25, 0.009963
3.255, 0.009958
3.26, 0.009779
3.265, 0.009587
3.27, 0.009386
3.275, 0.009198
3.2800000000000002, 0.009002
3.285, 0.008811
3.29, 0.008615
3.295, 0.008422
3.3, 0.008228
3.305, 0.00804
3.31, 0.007845
3.315, 0.007658
3.32, 0.007463
3.325, 0.007272
3.33, 0.007075
3.335, 0.006905
3.34, 0.006742
3.3449999999999998, 0.006546
3.35, 0.006346
3.355, 0.006126
3.36, 0.00591
3.365, 0.005677
3.37, 0.005433
3.375, 0.005204
3.38, 0.004997
3.385, 0.004791
3.39, 0.00459
3.395, 0.004387
3.4, 0.004184
3.4050000000000002, 0.003983
3.41, 0.003784
3.415, 0.00358
3.42, 0.003381
3.425, 0.003179
3.43, 0.002979
3.435, 0.002775
3.44, 0.002575
3.445, 0.002369
3.45, 0.002174
3.455, 0.001967
3.46, 0.001768
3.465, 0.001568
3.4699999999999998, 0.001366
3.475, 0.001164
3.48, 0.0009631
3.485, 0.0007598
3.49, 0.0005588
3.495, 0.0003567
3.5, 0.000161
3.505, -4.58e-05
3.51, -0.000251
3.515, -0.000473
3.52, -0.0006533
3.525, -0.0008338
3.5300000000000002, -0.001036
3.535, -0.001266
3.54, -0.001442
3.545, -0.001663
3.55, -0.001853
3.555, -0.002054
3.56, -0.002259
3.565, -0.002461
3.57, -0.002659
3.575, -0.002862
3.58, -0.003061
3.585, -0.003257
3.59, -0.003458
3.5949999999999998, -0.003656
3.6, -0.003869
3.605, -0.004064
3.61, -0.004268
3.615, -0.004478
3.62, -0.004672
3.625, -0.004881
3.63, -0.00507
3.635, -0.005275
3.64, -0.005476
3.645, -0.005679
3.65, -0.005881
3.6550000000000002, -0.006082
3.66, -0.006282
3.665, -0.006482
3.67, -0.006687
3.675, -0.006887
3.68, -0.00709
3.685, -0.00729
3.69, -0.007495
3.695, -0.007697
3.7, -0.007895
3.705, -0.008104
3.71, -0.008306
3.715, -0.008502
3.7199999999999998, -0.008711
3.725, -0.008908
3.73, -0.009117
3.735, -0.00931
3.74, -0.009518
3.745, -0.009719
3.75, -0.009925
3.755, -0.009932
3.76, -0.009694
3.765, -0.009514
3.77, -0.00933
3.775, -0.009136
3.7800000000000002, -0.008945
3.785, -0.008755
3.79, -0.008566
3.795, -0.008376
3.8, -0.008206
3.805, -0.008016
3.81, -0.007818
3.815, -0.007621
3.82, -0.007428
3.825, -0.007235
3.83, -0.007034
3.835, -0.006843
3.84, -0.006644
3.8449999999999998, -0.006447
3.85, -0.006255
3.855, -0.006061
3.86, -0.005869
3.865, -0.005716
3.87, -0.005559
3.875, -0.00536
3.88, -0.005148
3.885, -0.004948
3.89, -0.004718
3.895, -0.004497
3.9, -0.00426
3.9050000000000002, -0.004032
3.91, -0.003822
3.915, -0.003625
3.92, -0.00342
3.925, -0.003221
3.93, -0.003025
3.935, -0.002824
3.94, -0.002622
3.945, -0.002429
3.95, -0.002227
3.955, -0.002033
3.96, -0.001832
3.965, -0.001634
3.9699999999999998, -0.001432
3.975, -0.001236
3.98, -0.001033
3.985, -0.0008346
3.99, -0.0006298
3.995, -0.000429
4.0, -0.000228
